ItemID,ItemName,CurrentValue,LowValue,LowSeenDate,HighValue,HighSeenDate,Override,Taxed,Bottleneck,Mat1Qty,Mat1,Mat2Qty,Mat2,Mat3Qty,Mat3,Mat4Qty,Mat4,Mat5Qty,Mat5,Mat6Qty,Mat6,ProductionMultiplier,CritChance,CritProduct,Source,Tag,Tag2,Description
674,Golden Hand Elixir,25000,25000,,25000,,,Yes,No,1,Oil of Storms,4,Clear Liquid Reagent,4,Fog Mushroom,3,Trace of Hunting,6,Fir Sap,,,2.5,0.3,Glorious Golden Hand Elixir,Alchemy,,,
675,Glorious Golden Hand Elixir,80000,80000,,80000,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
676,Elixir of Draining,107555,107555,,107555,,,Yes,No,1,Oil of Fortitude,4,Clear Liquid Reagent,3,Hump Mushroom,4,Birch Sap,2,Trace of Forest,,,2.5,0.3,Elixir of Strong Draining,Alchemy,,,
677,Elixir of Strong Draining,188111,188111,,188111,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
678,Elixir of Demihuman Hunt,11200,11200,,11200,,,Yes,No,1,Sinner's Blood,4,Arrow Mushroom,4,Fir Sap,3,Black Stone Powder,,,,,2.5,0.3,Fierce Demihuman Hunting Elixir,Alchemy,,,
679,Fierce Demihuman Hunting Elixir,34800,34800,,34800,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
680,Elixir of Penetration,68273,68273,,68273,,,Yes,No,1,Oil of Corruption,4,Clear Liquid Reagent,5,Bluffer Mushroom,5,Pine Sap,2,Trace of Violence,,,2.5,0.3,Elixir of Brutal Penetration,Alchemy,,,
681,Elixir of Brutal Penetration,117047,117047,,117047,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
682,Elixir of Energy,6771,6771,,6771,,,Yes,No,1,Pure Powder Reagent,4,Blood 3,3,Purified Water,2,MP Potion (Small),,,,,2.5,0.3,Surging Energy Elixir,Alchemy,,,
683,Surging Energy Elixir,3000,3000,,3000,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
684,Elixir of Wings,22176,22176,,22176,,,Yes,No,2,Silver Azalea,1,Ash Sap,4,Blood 4,5,Purified Water,,,,,2.5,0.3,Soaring Wings Elixir,Alchemy,,,
685,Soaring Wings Elixir,3168,3168,,3168,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
686,Elixir of Death,70374,70374,,70374,,,Yes,No,1,Oil of Tranquility,6,Clear Liquid Reagent,2,Ancient Mushroom,7,Ash Sap,2,Trace of Death,,,2.5,0.3,Brutal Death Elixir,Alchemy,,,
687,Brutal Death Elixir,200000,200000,,200000,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
688,Elixir of Wind,19456,19456,,19456,,,Yes,No,1,Wise Man's Blood,5,Fortune Teller Mushroom,5,Pine Sap,2,Powder of Darkness,,,,,2.5,0.3,Elixir of Flowing Wind,Alchemy,,,
689,Elixir of Flowing Wind,24478,24478,,24478,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
690,Elixir of Swiftness,10320,10320,,10320,,,Yes,No,1,Legendary Beast's Blood,5,Arrow Mushroom,5,Birch Sap,2,Powder of Darkness,,,,,2.5,0.3,Elixir of Intrepid Swiftness,Alchemy,,,
691,Elixir of Intrepid Swiftness,32000,32000,,32000,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
692,Elixir of Spells,5461,5461,,5461,,,Yes,No,1,Tyrant's Blood,5,Fire Flake Flower,3,Maple Sap,2,Powder of Darkness,,,,,2.5,0.3,Elixir of Agile Spells,Alchemy,,,
693,Elixir of Agile Spells,35640,35640,,35640,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
694,Elixir of Seal,12128,12128,,12128,,,Yes,No,3,Dwarf Mushroom,1,Birch Sap,4,Blood 1,5,Purified Water,,,,,2.5,0.3,Agile Seal Elixir,Alchemy,,,
695,Agile Seal Elixir,3192,3192,,3192,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
696,Elixir of Assassination,80388,80388,,80388,,,Yes,No,1,Oil of Regeneration,5,Pure Powder Reagent,4,Amanita Mushroom,2,Red Tree Lump,2,Trace of Memory,,,2.5,0.3,Elixir of Lethal Assassination,Alchemy,,,
697,Elixir of Lethal Assassination,125280,125280,,125280,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
698,Elixir of Detection,82553,82553,,82553,,,Yes,No,1,Oil of Storms,6,Pure Powder Reagent,3,Truffle Mushroom,2,Old Tree Bark,3,Trace of Savagery,,,2.5,0.3,Elixir of Sharp Detection,Alchemy,,,
699,Elixir of Sharp Detection,141528,141528,,141528,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
700,Elixir of Concentration,14496,14496,,14496,,,Yes,No,1,Clear Liquid Reagent,3,Cloud Mushroom,2,Wild Grass,3,Blood 4,,,,,2.5,0.3,Elixir of Advanced Concentration,Alchemy,,,
701,Elixir of Advanced Concentration,22603,22603,,22603,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
702,Elixir of Will,20999,20999,,20999,,,Yes,No,1,Pure Powder Reagent,4,Sunrise Herb,6,Blood 1,3,Purified Water,,,,,2.5,0.3,Elixir of Remarkable Will,Alchemy,,,
703,Elixir of Remarkable Will,38880,38880,,38880,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
704,Elixir of Fury,14600,14600,,14600,,,Yes,No,4,Dwarf Mushroom,1,Ash Sap,4,Blood 4,3,Purified Water,,,,,2.5,0.3,Elixir of Endless Fury,Alchemy,,,
705,Elixir of Endless Fury,34656,34656,,34656,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
706,Elixir of Resistance,3744,3744,,3744,,,Yes,No,3,Cloud Mushroom,1,Birch Sap,7,Blood 1,3,Purified Water,,,,,2.5,0.3,Elixir of Sharp Resistance,Alchemy,,,
707,Elixir of Sharp Resistance,41039,41039,,41039,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
708,Elixir of Life,14748,14748,,14748,,,Yes,No,1,Pure Powder Reagent,3,Silver Azalea,5,Blood 3,3,HP Potion (Small),,,,,2.5,0.3,Elixir of Strong Life,Alchemy,,,
709,Elixir of Strong Life,25296,25296,,25296,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
710,Elixir of Mentality,9401,9401,,9401,,,Yes,No,1,Clear Liquid Reagent,4,Ash Sap,3,Purified Water,3,MP Potion (Small),,,,,2.5,0.3,Elixir of Clear Mentality,Alchemy,,,
711,Elixir of Clear Mentality,2436,2436,,2436,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
712,Grim Reaper's Elixir,83202,83202,,83202,,,Yes,No,1,Oil of Fortitude,4,Pure Powder Reagent,2,Sky Mushroom,2,Monk's Branch,4,Trace of Origin,,,2.5,0.3,Grim Soul Reaper's Elixir,Alchemy,,,
713,Grim Soul Reaper's Elixir,142632,142632,,142632,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
714,EXP Elixir,10800,10800,,10800,,,Yes,No,1,Clown's Blood,7,Dry Mane Grass,5,Pine Sap,2,Powder of Flame,,,,,2.5,0.3,Splendid EXP Elixir,Alchemy,,,
715,Splendid EXP Elixir,62976,62976,,62976,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
716,Defense Elixir,15507,15507,,15507,,,Yes,No,1,Clear Liquid Reagent,6,Ash Sap,5,Blood 2,3,Purified Water,,,,,2.5,0.3,Elixir of Steel Defense,Alchemy,,,
717,Elixir of Steel Defense,44378,44378,,44378,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
718,Elixir of Carnage,84755,84755,,84755,,,Yes,No,1,Oil of Corruption,7,Pure Powder Reagent,2,Tiger Mushroom,2,Spirit's Leaf,3,Trace of the Earth,,,2.5,0.3,Elixir of Brutal Carnage,Alchemy,,,
719,Elixir of Brutal Carnage,145296,145296,,145296,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
720,Elixir of Sky,90384,90384,,90384,,,Yes,No,1,Oil of Tranquility,6,Pure Powder Reagent,1,Emperor Mushroom,2,Bloody Tree Knot,4,Trace of Ascension,,,2.5,0.3,Merciless Sky Elixir,Alchemy,,,
721,Merciless Sky Elixir,140858,140858,,140858,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
722,Elixir of Endurance,15549,15549,,15549,,,Yes,No,1,Pure Powder Reagent,2,Dwarf Mushroom,5,Birch Sap,4,Bear Blood,,,,,2.5,0.3,Elixir of Overwhelming Endurance,Alchemy,,,
723,Elixir of Overwhelming Endurance,36872,36872,,36872,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
724,Worker's Elixir,9100,9100,,9100,,,Yes,No,1,Sinner's Blood,6,Silver Azalea,4,Ash Sap,2,Powder of Flame,,,,,2.5,0.3,Skilled Worker's Elixir,Alchemy,,,
725,Skilled Worker's Elixir,35764,35764,,35764,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
726,Fisher's Elixir,16629,16629,,16629,,,Yes,No,1,Wise Man's Blood,6,Sunrise Herb,3,Fir Sap,2,Powder of Flame,,,,,2.5,0.3,Skilled Fisher's Elixir,Alchemy,,,
727,Skilled Fisher's Elixir,4824,4824,,4824,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
728,Elixir of Burn Removal,368,368,,368,,,Yes,No,1,Clear Liquid Reagent,1,Purified Water,2,Apple,2,Wild Grass,,,,,2.5,,,Alchemy,,,
729,Antidote Elixir,352,352,,352,,,Yes,No,1,Pure Powder Reagent,1,Wild Grass,2,Blood 2,3,Olive Oil,,,,,2.5,,,Alchemy,,,
730,Elixir of Hemostasis,499,499,,499,,,Yes,No,1,Pure Powder Reagent,1,Cloud Mushroom,1,Ash Sap,3,Purified Water,,,,,2.5,,,Alchemy,,,
732,Whale Tendon Elixir,480000,480000,,480000,,,Yes,No,1,Blue Whale Tendon,1,Clown's Blood,12,Ash Sap,5,Purified Water,2,Clear Liquid Reagent,,,2.5,0.3,Tough Whale Tendon Elixir,Alchemy,,,
733,Tough Whale Tendon Elixir,720000,720000,,720000,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
734,Perfume of Courage,1120163,1120163,,1120163,,,Yes,No,1,Blue Whale Oil,3,Trace of Violence,6,Bloody Tree Knot,4,Purified Water,2,Clear Liquid Reagent,,,1.0,,,Alchemy,,,
735,Perfume of Swiftness,3717792,3717792,,3717792,,,Yes,No,1,Blue Whale Oil,4,Powder of Time,6,Everlasting Herb,4,Purified Water,2,Clear Liquid Reagent,,,1.0,,,Alchemy,,,
740,Griffon's Elixir,24818,24818,,24818,,,Yes,No,1,Griffon Claw,6,Cedar Sap,3,Trace of Battle,3,Purified Water,2,Sinner's Blood,,,2.5,0.3,Strong Griffon's Elixir,Alchemy,,,
741,Strong Griffon's Elixir,40950,40950,,40950,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
748,Khalk's Elixir,2154057,2154057,,2154057,,,Yes,No,1,Fugitive Khalk's Skin,10,White Cedar Sap,5,Trace of Chaos,4,Purified Water,2,Oil of Corruption,,,1.0,,,Alchemy,,,
749,Elixir of Time,9648,9648,,9648,,,Yes,No,1,Wise Man's Blood,6,Fire Flake Flower,2,Powder of Time,5,Maple Sap,,,,,2.5,0.3,Elixir of Flowing Time,Alchemy,,,
750,Elixir of Flowing Time,62975,62975,,62975,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
754,Elixir of Training,18333,18333,,18333,,,Yes,No,1,Legendary Beast's Blood,7,Silver Azalea,4,Pine Sap,2,Powder of Crevice,,,,,2.5,0.3,Elixir of Expert Training,Alchemy,,,
755,Elixir of Expert Training,62975,62975,,62975,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
761,Marking Reagent,54545,54545,,54545,,,Yes,No,1,Sinner's Blood,1,Magic Crystal of Enchantment - Vision,1,Herbal Gunpowder,1,Sticky Liquid,5,Black Stone Powder,,,1.0,,,Alchemy,,,
762,Elixir of Shock,9417,9417,,9417,,,Yes,No,1,Clown's Blood,5,Tiger Mushroom,7,Cedar Sap,3,Powder of Time,,,,,2.5,0.3,Elixir of Strong Shock,Alchemy,,,
763,Elixir of Strong Shock,65376,65376,,65376,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
771,Elixir of Deep Sea,1000000,1000000,,1000000,,,Yes,No,1,Oil of the Abyss,2,Coral Crystal,5,Clear Liquid Reagent,5,Arrow Mushroom,5,White Cedar Sap,,,1.0,,,Alchemy,,,
773,Weenie Elixir,21124,21124,,21124,,,Yes,No,4,Moss Tree Sap,2,Blue Umbrella Mushroom,3,Powder of Time,5,Monk's Branch,1,Sky Blue Flower,,,2.5,0.3,Surging Weenie Elixir,Alchemy,,,
774,Surging Weenie Elixir,47376,47376,,47376,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
777,Looney Elixir,28127,28127,,28127,,,Yes,No,4,Moss Tree Sap,2,Volcanic Umbrella Mushroom,3,Powder of Flame,5,Red Tree Lump,1,Violet Flower,,,2.5,0.3,Reliable Looney Elixir,Alchemy,,,
778,Reliable Looney Elixir,47376,47376,,47376,,,Yes,No,,,,,,,,,,,,,1.0,,,Alchemy,Crafting Proc,,
781,Spirit Perfume Elixir,240000,240000,,240000,,,Yes,No,1,Dead Tree Essence,1,Fruit of Nature,10,Loopy Tree Sap,10,Powder of Darkness,2,Violet Flower,,,1.0,,,Alchemy,,,
791,Verdure Draught,246969,246969,,246969,,,Yes,No,3,Worker's Elixir,3,Elixir of Time,3,Elixir of Swiftness,1,Tears of the Falling Moon,,,,,1.0,,,Alchemy,,,
792,Beast's Draught,550000,550000,,550000,,,Yes,No,3,Grim Reaper's Elixir,3,EXP Elixir,3,Elixir of Will,1,Tears of the Falling Moon,,,,,1.0,,,Alchemy,,,
793,Giant's Draught,520000,520000,,520000,,,Yes,No,3,Elixir of Fury,3,Elixir of Shock,3,Elixir of Penetration,1,Tears of the Falling Moon,,,,,1.0,,,Alchemy,,,
3701,Alchemy Tool,,,,,,,No,No,18,Rough Stone,10,Melted Iron Shard,3,Black Stone Powder,,,,,,,1.0,,,Workshop,,,
3702,Intermediate Alchemy Tool,156000,156000,,156000,,,Yes,No,40,Rough Stone,25,Log,20,Melted Iron Shard,10,Black Stone Powder,,,,,1.0,,,Workshop,,,
3703,Advanced Alchemy Tool,319500,319500,,319500,,,Yes,No,30,Polished Stone,15,Usable Scantling,24,Melted Iron Shard,20,Black Stone Powder,,,,,1.0,,,Workshop,,,
3717,Cooking Utensil,,,,,,,No,No,15,Rough Stone,10,Melted Iron Shard,2,Black Stone Powder,,,,,,,1.0,,,Workshop,,,
3718,Intermediate Cooking Utensil,102750,102750,,102750,,,Yes,No,25,Rough Stone,10,Log,15,Melted Iron Shard,7,Black Stone Powder,,,,,1.0,,,Workshop,,,
3719,Advanced Cooking Utensil,213000,213000,,213000,,,Yes,No,20,Polished Stone,5,Usable Scantling,20,Melted Iron Shard,14,Black Stone Powder,,,,,1.0,,,Workshop,,,
3730,Balenos Traditional Alchemy Tool,,,,,,,No,No,10,Rough Stone,12,Melted Iron Shard,12,Black Stone Powder,,,,,,,1.0,,,Workshop,,,
3731,Serendia Traditional Alchemy Tool,162000,162000,,162000,,,Yes,No,20,Rough Stone,15,Log,20,Melted Iron Shard,20,Black Stone Powder,,,,,1.0,,,Workshop,,,
3732,Calpheon Traditional Alchemy Tool,417000,417000,,417000,,,Yes,No,20,Polished Stone,5,Birch Plywood,40,Melted Iron Shard,40,Black Stone Powder,,,,,1.0,,,Workshop,,,
3740,Balenos Traditional Cooking Utensil,,,,,,,No,No,8,Rough Stone,10,Melted Iron Shard,10,Black Stone Powder,,,,,,,1.0,,,Workshop,,,
3741,Serendia Traditional Cooking Utensil,133500,133500,,133500,,,Yes,No,15,Rough Stone,20,Log,15,Melted Iron Shard,15,Black Stone Powder,,,,,1.0,,,Workshop,,,
3742,Calpheon Traditional Cooking Utensil,375000,375000,,375000,,,Yes,No,15,Polished Stone,8,Maple Plywood,30,Melted Iron Shard,30,Black Stone Powder,,,,,1.0,,,Workshop,,,
4001,Iron Ore,539,539,,539,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4002,Lead Ore,431,431,,431,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4003,Copper Ore,468,468,,468,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4004,Tin Ore,657,657,,657,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4005,Zinc Ore,1058,1058,,1058,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4006,Rough Stone,831,831,,831,,,Yes,No,,,,,,,,,,,,,,,,Gathering,,,
4007,Coal,1177,1177,,1177,,,Yes,No,,,,,,,,,,,,,,,,Gathering,,,
4008,Vanadium Ore,1295,1295,,1295,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4009,Titanium Ore,1413,1413,,1413,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4010,Sulfur,916,916,,916,,,Yes,No,,,,,,,,,,,,,,,,Gathering,,,
4011,Noc Ore,596,596,,596,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4051,Melted Iron Shard,2095,2095,,2095,,,Yes,No,5,Iron Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4052,Iron Ingot,8525,8525,,8525,,,Yes,No,10,Melted Iron Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4053,Pure Iron Crystal,103200,103200,,103200,,,Yes,No,3,Iron Ingot,2,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4054,Melted Lead Shard,1274,1274,,1274,,,Yes,No,5,Lead Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4055,Lead Ingot,8054,8054,,8054,,,Yes,No,10,Melted Lead Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4056,Pure Lead Crystal,105000,105000,,105000,,,Yes,No,3,Lead Ingot,2,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4057,Melted Copper Shard,1280,1280,,1280,,,Yes,No,5,Copper Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4058,Copper Ingot,8397,8397,,8397,,,Yes,No,10,Melted Copper Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4059,Pure Copper Crystal,97709,97709,,97709,,,Yes,No,3,Copper Ingot,2,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4060,Melted Tin Shard,2701,2701,,2701,,,Yes,No,5,Tin Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4061,Tin Ingot,8525,8525,,8525,,,Yes,No,10,Melted Tin Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4062,Pure Tin Crystal,83000,83000,,83000,,,Yes,No,3,Tin Ingot,2,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4063,Melted Zinc Shard,4239,4239,,4239,,,Yes,No,5,Zinc Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4064,Zinc Ingot,15422,15422,,15422,,,Yes,No,10,Melted Zinc Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4065,Pure Zinc Crystal,101000,101000,,101000,,,Yes,No,,,,,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4066,Brass Ingot,12100,12100,,12100,,,Yes,No,5,Melted Copper Shard,5,Melted Zinc Shard,,,,,,,,,2.5,,,Processing,Ingot,,
4067,Bronze Ingot,11450,11450,,11450,,,Yes,No,5,Melted Copper Shard,5,Melted Tin Shard,,,,,,,,,2.5,,,Processing,Ingot,,
4068,Polished Stone,3769,3769,,3769,,,Yes,No,,,,,,,,,,,,,2.5,,,Processing,,,
4070,Processed Coal,2142,2142,,2142,,,Yes,No,5,Coal,,,,,,,,,,,2.5,,,Processing,,,
4076,Metal Solvent,52800,52800,,52800,,,Yes,No,1,Clear Liquid Reagent,3,Melted Iron Shard,4,Rough Stone,2,Trace of Savagery,,,,,1.5,,,Alchemy,,,
4077,Steel,7800,7800,,7800,,,Yes,No,5,Melted Iron Shard,5,Coal,,,,,,,,,2.5,,,Processing,Ingot,,
4078,Melted Vanadium Shard,4049,4049,,4049,,,Yes,No,5,Vanadium Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4079,Vanadium Ingot,19298,19298,,19298,,,Yes,No,10,Melted Vanadium Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4080,Pure Vanadium Crystal,140999,140999,,140999,,,Yes,No,3,Vanadium Ingot,2,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4081,Melted Titanium Shard,5654,5654,,5654,,,Yes,No,5,Titanium Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4082,Titanium Ingot,20100,20100,,20100,,,Yes,No,10,Melted Titanium Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4083,Pure Titanium Crystal,70943,70943,,70943,,,Yes,No,3,Titanium Ingot,2,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4084,Margoria Dark Iron,82500,82500,,82500,,,Yes,No,1,[Guild] Hekaru's Spike,2,Pure Iron Crystal,,,,,,,,,,,,Processing,,,
4085,Melted Noc Shard,1874,1874,,1874,,,Yes,No,5,Noc Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4086,Noc Ingot,13325,13325,,13325,,,Yes,No,10,Melted Noc Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4087,Pure Noc Crystal,102915,102915,,102915,,,Yes,No,3,Noc Ingot,2,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4201,Silver Ore,2472,2472,,2472,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4202,Gold Ore,3768,3768,,3768,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4203,Platinum Ore,2410,2410,,2410,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4204,Rough Opal,2885,2885,,2885,,,Yes,No,,,,,,,,,,,,,,,,Gathering,,,
4206,Mythril,5771,5771,,5771,,,Yes,No,,,,,,,,,,,,,,,,Gathering,Ore,,
4251,Melted Silver Shard,7119,7119,,7119,,,Yes,No,5,Silver Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4252,Silver Ingot,35986,35986,,35986,,,Yes,No,10,Melted Silver Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4253,Pure Silver Crystal,94178,94178,,94178,,,Yes,No,3,Silver Ingot,1,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4254,Melted Gold Shard,15077,15077,,15077,,,Yes,No,5,Gold Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4255,Gold Ingot,120640,120640,,120640,,,Yes,No,10,Melted Gold Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4256,Pure Gold Crystal,139417,139417,,139417,,,Yes,No,3,Gold Ingot,1,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4257,Melted Platinum Shard,8109,8109,,8109,,,Yes,No,5,Platinum Ore,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4258,Platinum Ingot,61812,61812,,61812,,,Yes,No,10,Melted Platinum Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4259,Pure Platinum Crystal,146983,146983,,146983,,,Yes,No,3,Platinum Ingot,1,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4260,Polished Opal,6414,6414,,6414,,,Yes,No,5,Rough Opal,,,,,,,,,,,2.5,,,Processing,,,
4262,Melted Mythril Shard,19724,19724,,19724,,,Yes,No,5,Mythril,,,,,,,,,,,2.5,,,Processing,Metal Shard,,
4263,Mythril Ingot,151064,151064,,151064,,,Yes,No,10,Melted Mythril Shard,,,,,,,,,,,2.5,,,Processing,Ingot,,
4264,Pure Mythril Crystal,359999,359999,,359999,,,Yes,No,3,Mythril Ingot,1,Metal Solvent,,,,,,,,,2.0,,,Processing,Pure Crystal,,
4265,Brilliant Opal,44000,44000,,44000,,,Yes,No,10,Polished Opal,,,,,,,,,,,2.5,,,Processing,,,
4266,Moonlight Opal,165968,165968,,165968,,,Yes,No,3,Brilliant Opal,1,Metal Solvent,,,,,,,,,2.0,,,Processing,,,
4269,Jade Coral Ingot,200000,200000,,200000,,,Yes,No,5,Coral,25,Melted Titanium Shard,,,,,,,,,,,,Processing,,,
4401,Rough Ruby,3374,3374,,3374,,,Yes,No,,,,,,,,,,,,,,,,Gathering,,,
